Epoch: 0, Train Loss: 0.0630403295211483, Valid Loss: 0.060853365205107854
Epoch: 1, Train Loss: 0.06195681409625183, Valid Loss: 0.060853365205107854
Epoch: 2, Train Loss: 0.06087353878096596, Valid Loss: 0.060853365205107854
Epoch: 3, Train Loss: 0.05860162497954327, Valid Loss: 0.05570166251635139
Epoch: 4, Train Loss: 0.054726635125515385, Valid Loss: 0.05570166251635139
Epoch: 5, Train Loss: 0.04986296643505959, Valid Loss: 0.05570166251635139
Epoch: 6, Train Loss: 0.045830590347016156, Valid Loss: 0.04344839837529727
Epoch: 7, Train Loss: 0.04264848998976354, Valid Loss: 0.04344839837529727
Epoch: 8, Train Loss: 0.03988915053057721, Valid Loss: 0.04344839837529727
Epoch: 9, Train Loss: 0.03757810839513885, Valid Loss: 0.037639077404353925
Epoch: 10, Train Loss: 0.03585595581818157, Valid Loss: 0.037639077404353925
Epoch: 11, Train Loss: 0.03459717362351213, Valid Loss: 0.037639077404353925
Epoch: 12, Train Loss: 0.033708275895537966, Valid Loss: 0.033175206524484954
Epoch: 13, Train Loss: 0.0329492343213965, Valid Loss: 0.033175206524484954
Epoch: 14, Train Loss: 0.03240820815283509, Valid Loss: 0.033175206524484954
Epoch: 15, Train Loss: 0.031960199779333405, Valid Loss: 0.031850893708689654
Epoch: 16, Train Loss: 0.03164326201260067, Valid Loss: 0.031850893708689654
Epoch: 17, Train Loss: 0.03137185182727711, Valid Loss: 0.031850893708689654
Epoch: 18, Train Loss: 0.03109485017479758, Valid Loss: 0.030889345427233622
Epoch: 19, Train Loss: 0.030777781576211954, Valid Loss: 0.030889345427233622
Epoch: 20, Train Loss: 0.030370175283719835, Valid Loss: 0.030889345427233622
Epoch: 21, Train Loss: 0.030114152939670284, Valid Loss: 0.02996606978263577
Epoch: 22, Train Loss: 0.02984546819010281, Valid Loss: 0.02996606978263577
Epoch: 23, Train Loss: 0.02953379676991599, Valid Loss: 0.02996606978263577
Epoch: 24, Train Loss: 0.029248907801099764, Valid Loss: 0.029227133426047058
Epoch: 25, Train Loss: 0.028985739432953603, Valid Loss: 0.029227133426047058
Epoch: 26, Train Loss: 0.02871595985628784, Valid Loss: 0.029227133426047058
Epoch: 27, Train Loss: 0.02847127627494171, Valid Loss: 0.028459755132755
Epoch: 28, Train Loss: 0.028197188535321115, Valid Loss: 0.028459755132755
Epoch: 29, Train Loss: 0.027969301402729307, Valid Loss: 0.028459755132755
Epoch: 30, Train Loss: 0.027770033270139115, Valid Loss: 0.027861418946822102
Epoch: 31, Train Loss: 0.027583370949901313, Valid Loss: 0.027861418946822102
Epoch: 32, Train Loss: 0.027343117213123373, Valid Loss: 0.027861418946822102
Epoch: 33, Train Loss: 0.02724279223695923, Valid Loss: 0.027261810298724355
Epoch: 34, Train Loss: 0.027004517325842147, Valid Loss: 0.027261810298724355
Epoch: 35, Train Loss: 0.026905581537886504, Valid Loss: 0.027261810298724355
Epoch: 36, Train Loss: 0.026700320814185077, Valid Loss: 0.02687939428256537
Epoch: 37, Train Loss: 0.026535082833204455, Valid Loss: 0.02687939428256537
Epoch: 38, Train Loss: 0.026403320182399336, Valid Loss: 0.02687939428256537
Epoch: 39, Train Loss: 0.02624533988808711, Valid Loss: 0.026552493913204578
Epoch: 40, Train Loss: 0.02611476704792007, Valid Loss: 0.026552493913204578
Epoch: 41, Train Loss: 0.02601379521206646, Valid Loss: 0.026552493913204578
Epoch: 42, Train Loss: 0.025892772907213805, Valid Loss: 0.025984475981491204
Epoch: 43, Train Loss: 0.025778340234755996, Valid Loss: 0.025984475981491204
Epoch: 44, Train Loss: 0.025698544963489955, Valid Loss: 0.025984475981491204
Epoch: 45, Train Loss: 0.025558628118463468, Valid Loss: 0.02579290582289783
Epoch: 46, Train Loss: 0.02545177393726672, Valid Loss: 0.02579290582289783
Epoch: 47, Train Loss: 0.025360663805539564, Valid Loss: 0.02579290582289783
Epoch: 48, Train Loss: 0.025271487420782925, Valid Loss: 0.025416748045427737
Epoch: 49, Train Loss: 0.025169141269762677, Valid Loss: 0.025416748045427737
Epoch: 50, Train Loss: 0.025077494903488304, Valid Loss: 0.025416748045427737
Epoch: 51, Train Loss: 0.025002549092329067, Valid Loss: 0.025138346571469457
Epoch: 52, Train Loss: 0.024926715099893245, Valid Loss: 0.025138346571469457
Epoch: 53, Train Loss: 0.02482676566269975, Valid Loss: 0.025138346571469457
Epoch: 54, Train Loss: 0.02479968966270591, Valid Loss: 0.02493761421447098
Epoch: 55, Train Loss: 0.024734173646968373, Valid Loss: 0.02493761421447098
Epoch: 56, Train Loss: 0.024652306459571977, Valid Loss: 0.02493761421447098
Epoch: 57, Train Loss: 0.024568999035718932, Valid Loss: 0.024726128490185167
Epoch: 58, Train Loss: 0.024508769612081278, Valid Loss: 0.024726128490185167
Epoch: 59, Train Loss: 0.024490056347705565, Valid Loss: 0.024726128490185167
Epoch: 60, Train Loss: 0.024408721317943808, Valid Loss: 0.02457656416731668
Epoch: 61, Train Loss: 0.0243012085786716, Valid Loss: 0.02457656416731668
Epoch: 62, Train Loss: 0.024284920340346666, Valid Loss: 0.02457656416731668
Epoch: 63, Train Loss: 0.024207971948293203, Valid Loss: 0.024424001231253066
Epoch: 64, Train Loss: 0.024161829920801015, Valid Loss: 0.024424001231253066
Epoch: 65, Train Loss: 0.02410440287255781, Valid Loss: 0.024424001231253066
Epoch: 66, Train Loss: 0.024046805879991192, Valid Loss: 0.024221175835051238
Epoch: 67, Train Loss: 0.02400868307781681, Valid Loss: 0.024221175835051238
Epoch: 68, Train Loss: 0.02396575799439765, Valid Loss: 0.024221175835051238
Epoch: 69, Train Loss: 0.02392419625210471, Valid Loss: 0.02407074288377808
Epoch: 70, Train Loss: 0.023839075444647712, Valid Loss: 0.02407074288377808
Epoch: 71, Train Loss: 0.02386639176872542, Valid Loss: 0.02407074288377808
Epoch: 72, Train Loss: 0.023794139021656217, Valid Loss: 0.023958336815148955
Epoch: 73, Train Loss: 0.023755431036186613, Valid Loss: 0.023958336815148955
