Epoch: 0, Train Loss: 0.03482186941859814, Valid Loss: 0.024279605427926235
Epoch: 1, Train Loss: 0.020917719824669452, Valid Loss: 0.024279605427926235
Epoch: 2, Train Loss: 0.016644072919510877, Valid Loss: 0.024279605427926235
Epoch: 3, Train Loss: 0.014464087469073442, Valid Loss: 0.01403025145444906
Epoch: 4, Train Loss: 0.013795596375488318, Valid Loss: 0.01403025145444906
Epoch: 5, Train Loss: 0.01241251786167805, Valid Loss: 0.01403025145444906
Epoch: 6, Train Loss: 0.012032230649716579, Valid Loss: 0.012433223115901152
Epoch: 7, Train Loss: 0.011410060284945827, Valid Loss: 0.012433223115901152
Epoch: 8, Train Loss: 0.010901729816284317, Valid Loss: 0.012433223115901152
Epoch: 9, Train Loss: 0.010638020656859646, Valid Loss: 0.011162689012108427
Epoch: 10, Train Loss: 0.010413214206122436, Valid Loss: 0.011162689012108427
Epoch: 11, Train Loss: 0.010124707938386844, Valid Loss: 0.011162689012108427
Epoch: 12, Train Loss: 0.009740289984844053, Valid Loss: 0.01050253158830332
Epoch: 13, Train Loss: 0.009589128339519868, Valid Loss: 0.01050253158830332
Epoch: 14, Train Loss: 0.009494127243613967, Valid Loss: 0.01050253158830332
Epoch: 15, Train Loss: 0.009227845928846644, Valid Loss: 0.010168853102985657
Epoch: 16, Train Loss: 0.009122234529170853, Valid Loss: 0.010168853102985657
Epoch: 17, Train Loss: 0.008902035950897978, Valid Loss: 0.010168853102985657
Epoch: 18, Train Loss: 0.008769561364673651, Valid Loss: 0.00986089218746532
Epoch: 19, Train Loss: 0.008868226326572207, Valid Loss: 0.00986089218746532
Epoch: 20, Train Loss: 0.008555666364442844, Valid Loss: 0.00986089218746532
Epoch: 21, Train Loss: 0.008535369370992366, Valid Loss: 0.010062831961973146
Epoch: 22, Train Loss: 0.008476838920838559, Valid Loss: 0.010062831961973146
Epoch: 23, Train Loss: 0.008336875885008619, Valid Loss: 0.010062831961973146
Epoch: 24, Train Loss: 0.00829303256737498, Valid Loss: 0.009680256106410965
Epoch: 25, Train Loss: 0.008129713508801964, Valid Loss: 0.009680256106410965
Epoch: 26, Train Loss: 0.008014599165807549, Valid Loss: 0.009680256106410965
Epoch: 27, Train Loss: 0.00791736449329899, Valid Loss: 0.009598401149339748
Epoch: 28, Train Loss: 0.007878217849737176, Valid Loss: 0.009598401149339748
Epoch: 29, Train Loss: 0.007860832657808294, Valid Loss: 0.009598401149339748
Epoch: 30, Train Loss: 0.007783622957336215, Valid Loss: 0.009590856646272268
Epoch: 31, Train Loss: 0.007693854894918891, Valid Loss: 0.009590856646272268
Epoch: 32, Train Loss: 0.007669125382716839, Valid Loss: 0.009590856646272268
Epoch: 33, Train Loss: 0.0076373031685272085, Valid Loss: 0.009591736350998734
Epoch: 34, Train Loss: 0.007646171358199074, Valid Loss: 0.009591736350998734
Epoch: 35, Train Loss: 0.007567622440938766, Valid Loss: 0.009591736350998734
Epoch: 36, Train Loss: 0.007459587686193677, Valid Loss: 0.009574604220688343
Epoch: 37, Train Loss: 0.007452263124287128, Valid Loss: 0.009574604220688343
Epoch: 38, Train Loss: 0.007473076568343318, Valid Loss: 0.009574604220688343
Epoch: 39, Train Loss: 0.0073680036343061, Valid Loss: 0.009623160726870552
Epoch: 40, Train Loss: 0.0072885309417660415, Valid Loss: 0.009623160726870552
Epoch: 41, Train Loss: 0.0072056326191299236, Valid Loss: 0.009623160726870552
Epoch: 42, Train Loss: 0.00718925094160323, Valid Loss: 0.009679080692656113
Epoch: 43, Train Loss: 0.007184652056401739, Valid Loss: 0.009679080692656113
Epoch: 44, Train Loss: 0.00722625139885797, Valid Loss: 0.009679080692656113
Epoch: 45, Train Loss: 0.007111260964750097, Valid Loss: 0.009761973114853556
Epoch: 46, Train Loss: 0.007123390549363998, Valid Loss: 0.009761973114853556
Epoch: 47, Train Loss: 0.00707016998830323, Valid Loss: 0.009761973114853556
Epoch: 48, Train Loss: 0.007010120028056777, Valid Loss: 0.00974651857871901
Epoch: 49, Train Loss: 0.006967538713405912, Valid Loss: 0.00974651857871901
Epoch: 50, Train Loss: 0.006929644139913412, Valid Loss: 0.00974651857871901
Early stopping triggered!
